Temp,Load,time,COF
200,2,680,1.21894708
200,2,700,1.237788
200,2,720,1.25644228
200,2,740,1.27490992
200,2,760,1.29319092
200,2,780,1.31128528
200,2,800,1.329193
200,2,820,1.34691408
200,2,840,1.36444852
200,2,860,1.38179632
200,2,880,1.39895748
200,2,900,1.415932
200,2,920,1.43271988
200,2,940,1.44932112
200,2,960,1.46573572
200,2,980,1.48196368
200,2,1000,1.498005
200,5,0,0.372285
200,5,20,0.3954718
200,5,40,0.4183522
200,5,60,0.4409262
200,5,80,0.4631938
200,5,100,0.485155
200,5,120,0.5068098
200,5,140,0.5281582
200,5,160,0.5492002
200,5,180,0.5699358
200,5,200,0.590365
200,5,220,0.6104878
200,5,240,0.6303042
200,5,260,0.6498142
200,5,280,0.6690178
200,5,300,0.687915
200,5,320,0.7065058
200,5,340,0.7247902
200,5,360,0.7427682
200,5,380,0.7604398
200,5,400,0.777805
200,5,420,0.7948638
200,5,440,0.8116162
200,5,460,0.8280622
200,5,480,0.8442018
200,5,500,0.860035
200,5,520,0.8755618
200,5,540,0.8907822
200,5,560,0.9056962
200,5,580,0.9203038
200,5,600,0.934605
200,5,620,0.9485998
200,5,640,0.9622882
200,5,660,0.9756702
200,5,680,0.9887458
200,5,700,1.001515
200,5,720,1.0139778
200,5,740,1.0261342
200,5,760,1.0379842
200,5,780,1.0495278
200,5,800,1.060765
200,5,820,1.0716958
200,5,840,1.0823202
200,5,860,1.0926382
200,5,880,1.1026498
200,5,900,1.112355
200,5,920,1.1217538
200,5,940,1.1308462
200,5,960,1.1396322
200,5,980,1.1481118
200,5,1000,1.156285
200,8,0,0.33627
200,8,20,0.35859508
200,8,40,0.38061032
200,8,60,0.40231572
200,8,80,0.42371128
200,8,100,0.444797
200,8,120,0.46557288
200,8,140,0.48603892
200,8,160,0.50619512
200,8,180,0.52604148
200,8,200,0.545578
200,8,220,0.56480468
200,8,240,0.58372152
200,8,260,0.60232852
200,8,280,0.62062568
200,8,300,0.638613
200,8,320,0.65629048
200,8,340,0.67365812
200,8,360,0.69071592
200,8,380,0.70746388
200,8,400,0.723902
200,8,420,0.74003028
200,8,440,0.75584872
200,8,460,0.77135732
200,8,480,0.78655608
200,8,500,0.801445
200,8,520,0.81602408
200,8,540,0.83029332
200,8,560,0.84425272
200,8,580,0.85790228
200,8,600,0.871242
200,8,620,0.88427188
200,8,640,0.89699192
200,8,660,0.90940212
200,8,680,0.92150248
200,8,700,0.933293
200,8,720,0.94477368
200,8,740,0.95594452
200,8,760,0.96680552
200,8,780,0.97735668
200,8,800,0.987598
200,8,820,0.99752948
200,8,840,1.00715112
200,8,860,1.01646292
200,8,880,1.02546488
200,8,900,1.034157
200,8,920,1.04253928
200,8,940,1.05061172
200,8,960,1.05837432
200,8,980,1.06582708
200,8,1000,1.07297
200,11,0,0.305968
200,11,20,0.32707872
200,11,40,0.34793088
200,11,60,0.36852448
200,11,80,0.38885952
200,11,100,0.408936
200,11,120,0.42875392
200,11,140,0.44831328
200,11,160,0.46761408
200,11,180,0.48665632
200,11,200,0.50544
200,11,220,0.52396512
200,11,240,0.54223168
200,11,260,0.56023968
200,11,280,0.57798912
200,11,300,0.59548
200,11,320,0.61271232
200,11,340,0.62968608
200,11,360,0.64640128
200,11,380,0.66285792
200,11,400,0.679056
200,11,420,0.69499552
200,11,440,0.71067648
200,11,460,0.72609888
200,11,480,0.74126272
200,11,500,0.756168
200,11,520,0.77081472
200,11,540,0.78520288
200,11,560,0.79933248
200,11,580,0.81320352
200,11,600,0.826816
200,11,620,0.84016992
200,11,640,0.85326528
200,11,660,0.86610208
200,11,680,0.87868032
200,11,700,0.891
200,11,720,0.90306112
200,11,740,0.91486368
200,11,760,0.92640768
200,11,780,0.93769312
200,11,800,0.94872
200,11,820,0.95948832
200,11,840,0.96999808
200,11,860,0.98024928
200,11,880,0.99024192
200,11,900,0.999976
200,11,920,1.00945152
200,11,940,1.01866848
200,11,960,1.02762688
200,11,980,1.03632672
200,11,1000,1.044768
200,16,0,0.305968
200,16,20,0.32707872
200,16,40,0.34793088
200,16,60,0.36852448
200,16,80,0.38885952
200,16,100,0.408936
200,16,120,0.42875392
200,16,140,0.44831328
200,16,160,0.46761408
200,16,180,0.48665632
200,16,200,0.50544
200,16,220,0.52396512
200,16,240,0.54223168
200,16,260,0.56023968
200,16,280,0.57798912
200,16,300,0.59548
200,16,320,0.61271232
200,16,340,0.62968608
200,16,360,0.64640128
200,16,380,0.66285792
200,16,400,0.679056
200,16,420,0.69499552
200,16,440,0.71067648
200,16,460,0.72609888
200,16,480,0.74126272
200,16,500,0.756168
200,16,520,0.77081472
200,16,540,0.78520288
200,16,560,0.79933248
200,16,580,0.81320352
200,16,600,0.826816
200,16,620,0.84016992
200,16,640,0.85326528
200,16,660,0.86610208
200,16,680,0.87868032
200,16,700,0.891
200,16,720,0.90306112
200,16,740,0.91486368
200,16,760,0.92640768
200,16,780,0.93769312
200,16,800,0.94872
200,16,820,0.95948832
200,16,840,0.96999808
200,16,860,0.98024928
200,16,880,0.99024192
200,16,900,0.999976
200,16,920,1.00945152
200,16,940,1.01866848
200,16,960,1.02762688
200,16,980,1.03632672
200,16,1000,1.044768
400,0.5,0,0.8
400,0.5,20,1.464085354
400,0.5,40,1.772516113
400,0.5,60,1.995989923
400,0.5,80,2.171499104
400,0.5,100,2.314536919
400,0.5,120,2.43347944
400,0.5,140,2.533507886
400,0.5,160,2.618111406
400,0.5,180,2.689782264
400,0.5,200,2.750379632
400,0.5,220,2.801337476
400,0.5,240,2.843791484
400,0.5,260,2.878660697
400,0.5,280,2.906702256
400,0.5,300,2.928549397
400,0.5,320,2.944738597
400,0.5,340,2.955729455
400,0.5,360,2.961919562
400,0.5,380,2.963655833
400,0.5,400,2.961243278
400,1,0,0.5511
